centroid=34e38eaa3d65b351d2f6de1fdd0fb501167b018d;size=62;;seqs=2	EF058250.1.1738_U;tax=k:Eukaryota,d:TSAR,p:Alveolata-Dinoflagellata,c:Dinophyceae,o:Peridiniales,f:Peridiniaceae,g:Peridinium,s:Peridinium_willei	99.7	1565	4	0	1	1595	1	1738	-1	0
centroid=9646b1fcb798a74649ef1e1b5028a73a06b4eae4;size=32;;seqs=3	EF058250.1.1738_U;tax=k:Eukaryota,d:TSAR,p:Alveolata-Dinoflagellata,c:Dinophyceae,o:Peridiniales,f:Peridiniaceae,g:Peridinium,s:Peridinium_willei	99.6	1565	4	1	1	1360	1	1738	-1	0
centroid=7bcd1711967e89eb8301631cbfc0f431e915b264;size=181;;seqs=3	AB178865.1.1782_U;tax=k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Peronosporomycetes,o:Peronosporomycetes_X,f:Haliphthorales,g:Haliphthoros,s:Haliphthoros_sp.	92.6	1631	114	15	1	1606	1	1782	-1	0
centroid=4a76250b74d593467ed44bd585c638227f533c79;size=45;;seqs=7	AJ012519.1.1767_U;tax=k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Platyhelminthes,o:Turbellaria,f:Catenulida,g:Stenostomum,s:Stenostomum_leucops_aquariorum	98.8	1605	16	4	1	1604	1	1767	-1	0
centroid=a8ecf346d84f4df21c39271ef808d4801cef7b04;size=40;;seqs=3	AF060454.1.1753_U;tax=k:Eukaryota,d:TSAR,p:Alveolata-Ciliophora,c:Colpodea,o:Colpodea_X,f:Platyophryida,g:Platyophrya,s:Platyophrya_vorax	99.0	1555	14	1	1	1555	1	1753	-1	0
centroid=28461c40acaef6bfd79f83e97646b5fd30a609d1;size=101;;seqs=8	KJ651828.1.1621_U;tax=k:Eukaryota,d:TSAR,p:Alveolata-Ciliophora,c:Heterotrichea,o:Heterotrichea_X,f:Stentoridae,g:Stentor,s:Stentor_sp.	99.6	1503	4	1	1	1536	1	1621	-1	0
centroid=ef8ec698998da300aa146c759422aa964bc9733e;size=48;;seqs=1	AB425950.1.1891_U;tax=k:Eukaryota,d:Amoebozoa,p:Evosea-Evosea_X,c:Variosea,o:Variosea_X,f:Mb5C-lineage,g:Mb5C-lineage_X,s:Mb5C-lineage_X_sp.	99.1	1732	10	5	1	1732	1	1891	-1	0
centroid=e24cf6b6f5b93db14ba350850dd108fbdbe8d04f;size=42;;seqs=2	EU039899.1.1696_G;tax=k:Eukaryota,d:TSAR,p:Alveolata-Ciliophora,c:Colpodea,o:Colpodea_X,f:Cyrtolophosidida,g:Cyrtolophosis,s:Cyrtolophosis_mucicola	99.3	1986	10	2	1	1987	1	1696	-1	0
centroid=dd3edd2fcfaad6cd4e30067ccf5326c3b0460015;size=36;;seqs=3	AM502002.1.1731_U;tax=k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Bacillariophyceae,o:Cymbellales,f:Gomphonemataceae,g:Gomphonema,s:Gomphonema_affine	99.9	1571	0	0	1	1571	1	1731	-1	0
centroid=4819eef827e1ead5ce784c4239bc2576550819e0;size=36;;seqs=1	MG050883.1.1722_U;tax=k:Eukaryota,d:Obazoa,p:Opisthokonta-Fungi,c:Ascomycota,o:Saccharomycotina,f:Saccharomycetales,g:Clavispora,s:Clavispora_fructus	95.6	1566	69	5	1	1570	1	1722	-1	0
centroid=b367ee1d6a015e3a2d6c5d3f8fc3ade80d4aa112;size=54;;seqs=2	AM490290.1.2151_U;tax=k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Arthropoda,o:Crustacea,f:Branchiopoda,g:Pleuroxus,s:Pleuroxus_aduncus	98.2	1914	36	1	1	1914	1	2151	-1	0
