centroid=24ef02eaf8735c8bfcba48024448be17a6f861de;size=48;;seqs=1	FR837692.1.1692_U;tax=k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Cnidaria,o:Cnidaria_X,f:Anthozoa,g:Diopisthoporus,s:Diopisthoporus_longitubus	92.5	1562	116	9	1	1583	1	1692	-1	0
centroid=8a22a60a73415d7bdea7d9b954b17580f8920576;size=44;;seqs=7	KJ760311.1.1796_U;tax=k:Eukaryota,d:TSAR,p:Alveolata-Dinoflagellata,c:Syndiniales,o:Dino-Group-I,f:Dino-Group-I-Clade-2,g:Dino-Group-I-Clade-2_X,s:Dino-Group-I-Clade-2_X_sp.	98.3	1592	28	1	1	1591	1	1796	-1	0
centroid=3280f939e195ee08775aafa608511cd96991814e;size=37;;seqs=5	AJ564768.1.1764_U;tax=k:Eukaryota,d:TSAR,p:Telonemia-Telonemia_X,c:Telonemia_XX,o:Telonemia_XXX,f:Telonemia-Group-1,g:Telonemia-Group-1_X,s:Telonemia-Group-1_X_sp.	98.2	1604	27	4	1	1601	1	1764	-1	0
centroid=e2ec067ae631d8b1efdf0f66f6bcd6162ca72f68;size=75;;seqs=1	KX856866.1.1743_U;tax=k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Echinodermata,o:Echinodermata_X,f:Echinodermata_XX,g:Myriotrochus,s:Myriotrochus_antarcticus	97.9	1593	33	2	1	1616	1	1743	-1	0
centroid=e6d22c52ea5f589e98dfd9eb57fc649c81fb33f4;size=46;;seqs=2	AY210448.1.1830_U;tax=k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Nemertea,o:Nemertea_X,f:Nemertea_XX,g:Oerstedia,s:Oerstedia_dorsalis	98.7	1618	20	1	1	1618	1	1830	-1	0
centroid=e71371c53538121e2e6a3b4066e3981cfa4495a1;size=61;;seqs=4	DQ504354.1.1974_U;tax=k:Eukaryota,d:TSAR,p:Rhizaria-Cercozoa,c:Endomyxa,o:Filoretidae,f:Filoretidae_X,g:Filoreta,s:Filoreta_sp.	86.3	1853	247	21	1	1666	1	1974	-1	0
centroid=16a0f012b4901afdaea9817ec30a36bc67baf876;size=58;;seqs=2	EU567278.1.1077_U;tax=k:Eukaryota,d:TSAR,p:Rhizaria-Cercozoa,c:Endomyxa,o:Filoretidae,f:Filoretidae_X,g:Filoreta,s:Filoreta_sp.	99.8	1077	2	0	1	1610	1	1077	-1	0
centroid=9b9be82fbb08e665d1979ddacd9d48b86d83e712;size=26;;seqs=13	U73230.1.1811_U;tax=k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Chrysophyceae,o:Synurales,f:Synuraceae,g:Mallomonas,s:Mallomonas_annulata	98.1	1584	33	0	1	1584	1	1811	-1	0
centroid=7704c3ef466361c9ca4f5355f650f5d66012f717;size=21;;seqs=1	KJ762563.1.1782_U;tax=k:Eukaryota,d:TSAR,p:Rhizaria-Radiolaria,c:RAD-C,o:RAD-C_X,f:RAD-C_Xa,g:RAD-C_Xa_X,s:RAD-C_Xa_X_sp.	97.8	1579	36	1	1	1579	1	1782	-1	0
centroid=5ca7369650ab7c694aad7f69a346bd43b454cb20;size=21;;seqs=1	FN690661.1.1673_U;tax=k:Eukaryota,d:TSAR,p:Stramenopiles-Gyrista,c:Chrysophyceae,o:Paraphysomonadales,f:Paraphysomonadaceae,g:Paraphysomonas,s:Paraphysomonas_sp.	87.9	1562	193	7	1	1578	1	1673	-1	0
centroid=b10ce4d7516a25a2902fcc00152535826ff48286;size=21;;seqs=1	JF357626.1.1696_U;tax=k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Gastrotricha,o:Gastrotricha_X,f:Gastrotricha_XX,g:Oregodasys,s:Oregodasys_tentaculatus	97.5	1559	38	2	1	1586	1	1696	-1	0
centroid=d4ef80a1d1f85010ff637960f1a1bdd32daeb680;size=18;;seqs=1	JX025168.1.1699_U;tax=k:Eukaryota,d:TSAR,p:Alveolata-Ciliophora,c:Spirotrichea,o:Euplotia,f:Aspidiscidae,g:Aspidisca,s:Aspidisca_fusca	91.8	1568	128	10	1	1567	1	1699	-1	0
centroid=f570ef9cd1200a68f9c9925c2c3ba6c56fd79e72;size=22;;seqs=8	FJ881862.1.1769_U;tax=k:Eukaryota,d:TSAR,p:Alveolata-Ciliophora,c:Spirotrichea,o:Choreotrichida,f:Strombidinopsidae,g:Strombidinopsis,s:Strombidinopsis_sp.	98.4	1570	25	1	1	1569	1	1769	-1	0
centroid=7a9e384935fee61fb70b14c4f51e0f5ad45e2992;size=34;;seqs=1	AY449715.1.2072_U;tax=k:Eukaryota,d:TSAR,p:Rhizaria-Cercozoa,c:Endomyxa-Ascetosporea,o:Paradinida,f:Paradinida_X,g:Paradinida_XX,s:Paradinida_XX_sp.	84.0	1984	306	24	1	1942	1	2072	-1	0
centroid=d03ce95ce624cc4667e95a95fe9ecdb38d85b0e8;size=29;;seqs=4	AY859534.1.1748_U;tax=k:Eukaryota,d:Obazoa,p:Opisthokonta-Metazoa,c:Annelida,o:Annelida_X,f:Annelida_XX,g:Troglochaetus,s:Troglochaetus_beranecki	97.1	1611	48	2	1	1610	1	1748	-1	0
centroid=777034911d33c2f43cc234d1cc7346be0b456bf2;size=16;;seqs=1	FJ763541.1.1653_U;tax=k:Eukaryota,d:Obazoa,p:Opisthokonta-Fungi,c:Ascomycota,o:Saccharomycotina,f:Saccharomycetales,g:Metschnikowia,s:Metschnikowia_sp.	99.3	1514	10	0	1	1514	1	1653	-1	0
